title;descriptionHtml;status;totalInventory;mediaCount.count;metafield.value;metafield;sku;id;Cod. Modelo;Colecao;Cod. Gr.;Desc. Gr.;Cod. Subgr.;Desc. Subgr.;Cod. Prod.;Desc. Produto;Markup Aplic;Pr. Custo;Pr Venda unit;Faixa de Preco;Gde. Gr.;Metal;Cor Padrao;Desc Cor;Sub Nivel;Tab. Pr.;Foto;Encomendavel;Status;Estoque;STATUS_FINAL;Data Inclusao;Peso;Classificacao;Linha
Brinco 15 Anos - P | Ouro Branco 18K E Diamantes;O Brinco Star possui o desenho em estrelas geométricas com um ar leve e delicado. É uma peça atemporal que combina tanto para ocasiões festivas como para o dia a dia. Ouro Branco 18k e Diamantes 0,46ct;ACTIVE;7;3;"• Diamante com aproximadamente 0,49CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS1/SI2;";;BR04014T;gid://shopify/ProductVariant/46330657636647;15 Anos;15 anos JV;BR;BRINCO;DI;DIAMANTE INCOLOR;BR04014T;BR OB, STAR DIAMOND  P , D ±0,49CT;5.34;734.38;24500.0;05. De 20.000 a 50.000;PA;OURO;OB;OURO BRANCO;BR COMETA;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR04014T.JPG;Sim;Ativo;2.0;ATIVO;2014-10-14;6.0;COM;BRINCO MAN
Brinco 15 Anos - M | Ouro Branco 18K E Diamantes;O Brinco Star Diamond M possui o desenho em estrelas geométricas com um ar leve e delicado. É uma peça atemporal que combina tanto para ocasiões festivas como para o dia a dia. Ouro Branco 18k e Diamantes 1,65t<br><br>Dimensões aproximadas: 3,5 cm;DRAFT;0;4;"• Diamante com aproximadamente 1,65CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS1/SI2;";;BR04127T;gid://shopify/ProductVariant/46330660913447;15 Anos;15 anos JV;BR;BRINCO;DI;DIAMANTE INCOLOR;BR04127T;BR OB, STAR DIAMOND  M , D ±1,65CT;4.99;1384.41;42900.0;05. De 20.000 a 50.000;PA;OURO;OB;OURO BRANCO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR04127T.JPG;Nao;Inativo;0.0;INATIVO;2014-12-18;10.8;COM;BRINCO MAN
Brinco 15 Anos - P | Ouro Branco 18K Com Ródio Negro E Diamantes Negros;O Brinco Star Diamond possui o desenho em estrelas geométricas com um ar leve e delicado. É uma peça atemporal que combina tanto para ocasiões festivas como para o dia a dia. Ouro Branco 18k com Ródio Negro e Diamantes 0,52ct;ACTIVE;5;2;"• Diamante Negro com aproximadamente 0,52CT;
• Lapidação em Brilhante;";;BR04027T;gid://shopify/ProductVariant/46331458519335;15 Anos;15 anos JV;BR;BRINCO;DN;DIAMANTE NEGRO;BR04027T;BR OBN, STAR DIAMOND  P , DN ±0,52CT;6.28;420.51;14900.0;06. De 10.000 a 20.000;PA;OURO;RN;RODIO NEGRO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR04027T.JPG;Sim;Ativo;0.0;ATIVO;2014-11-03;6.0;COM;BRINCO MAN
Brinco 15 Anos - M | Ouro Branco 18K Com Ródio Negro E Diamantes Negros;O Brinco Star Diamond M possui o desenho em estrelas geométricas com um ar leve e delicado. É uma peça atemporal que combina tanto para ocasiões festivas como para o dia a dia. Ouro Branco 18k com ródio negro e diamantes negros 1,69ct<br><br>Dimensões aproximadas: 3,5 cm;ACTIVE;1;4;"• Diamante Negro com aproximadamente 1,69CT;
• Lapidação em Brilhante;";;BR04355T;gid://shopify/ProductVariant/46331460780327;15 Anos;15 anos JV;BR;BRINCO;DN;DIAMANTE NEGRO;BR04355T;BR OBN, STAR DIAMOND   M  , DN ±1,69CT;5.12;801.94;25500.0;05. De 20.000 a 50.000;PA;OURO;RN;RODIO NEGRO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR04355T.JPG;Nao;Inativo;1.0;ATIVO;2015-05-26;10.8;COM;BRINCO MAN
Brinco 15 Anos - P | Ouro Branco 18K Com Ródio Negro E Diamantes;O Brinco Star Diamond M possui o desenho em estrelas geométricas com um ar leve e delicado. É uma peça atemporal que combina tanto para ocasiões festivas como para o dia a dia. Ouro Branco 18k com ródio negro, diamantes light light brown 4,19ct<br><br>Dimensões aproximadas: 3,5 cm;ACTIVE;5;2;"• Diamante com aproximadamente 0,49CT;
• Lapidação em Brilhante;
• Grau de cor: LLB;
• Grau de pureza: ±VS/SI2;";;BR05117T;gid://shopify/ProductVariant/46331464122663;15 Anos;15 anos JV;BR;BRINCO;DI;DIAMANTE INCOLOR;BR05117T;BR OBN, STAR DIAMOND  P , DLLB ±0,49CT;5.73;510.57;16500.0;06. De 10.000 a 20.000;PA;OURO;RN;RODIO NEGRO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR05117T.JPG;Sim;Ativo;0.0;ATIVO;2017-04-05;6.0;COM;BRINCO CRA
Colar Amore De Ouro Amarelo 18K;"<p>A Joia Choker Amore é delicada e feminina, pode ser usada em um mix de colares ou sozinha e compõe looks mais elaborados como para o dia a dia.</p>
<p>Medidas aproximadas: 38cm com contra argolas em 31, 33 e 36cm.</p>";ACTIVE;7;3;• Comprimento: 39cm.;;CL04023;gid://shopify/ProductVariant/46332394570023;AMORE;CHOKER AMORE;CL;COLAR;SP;SEM PEDRA;CL04023;CL OA, CHOKER AMORE;4.77;164.13;5500.0;07. De 5.000 a 10.000;PA;OURO;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/CL04023.JPG;Sim;Ativo;2.0;ATIVO;2017-05-25;1.8;COM;COLAR S/P
Colar Amore De Ouro Amarelo 18K;A Joia Choker Love é delicada e feminina, pode ser usada em um mix de colares ou sozinha e compõe looks mais elaborados como para o dia a dia. <br><br>Medidas aproximadas: 38cm com contra argolas em 31, 33 e 36cm;ACTIVE;7;3;• Comprimento: 39cm.;;CL04025;gid://shopify/ProductVariant/46332398502183;AMORE;CHOKER AMORE;CL;COLAR;SP;SEM PEDRA;CL04025;CL OA, CHOKER LOVE;5.24;149.47;5500.0;07. De 5.000 a 10.000;PA;OURO;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/CL04025.JPG;Sim;Ativo;2.0;ATIVO;2017-05-25;1.7;COM;COLAR S/P
Colar Amore De Ouro Branco 18K Com Ródio Negro;"<p>A Joia Choker Amore é delicada e feminina, pode ser usada em um mix de colares ou sozinha e compõe looks mais elaborados como para o dia a dia.</p>
<p>Medidas aproximadas: 38cm com contra argolas em 31, 33 e 36cm</p>";ACTIVE;1;3;• Comprimento: 39cm.;;CL04022;gid://shopify/ProductVariant/46332404007207;AMORE;CHOKER AMORE;CL;COLAR;SP;SEM PEDRA;CL04022;CL OBN, CHOKER AMORE;4.77;164.3;5500.0;07. De 5.000 a 10.000;PA;OURO;RN;RODIO NEGRO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/CL04022.JPG;Nao;Inativo;1.0;ATIVO;2017-05-25;1.8;COM;COLAR S/P
Colar Amore De Ouro Branco 18K Com Ródio Negro;A Joia Choker Love é delicada e feminina, pode ser usada em um mix de colares ou sozinha e compõe looks mais elaborados como para o dia a dia. <br><br><br>Medidas aproximadas: 38cm com contra argolas em 31, 33 e 36cm;DRAFT;0;3;• Comprimento: 39cm.;;CL04024;gid://shopify/ProductVariant/46332407382311;AMORE;CHOKER AMORE;CL;COLAR;SP;SEM PEDRA;CL04024;CL OBN, CHOKER LOVE;4.92;159.29;4400.0;08. Ate 5.000;PA;OURO;RN;RODIO NEGRO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/CL04024.JPG;Nao;Inativo;0.0;INATIVO;2017-05-25;1.7;COM;COLAR S/P
Brinco Avantgarde | Ouro Branco 18K Com Ródio Negro E Diamantes;O Brinco Line Avant Garde em Ródio Negro  é uma joia com caimento perfeito e inovador. Uma peça que agrega força e personalidade a qualquer look.;ACTIVE;5;3;"• Diamante com aproximadamente 0,41CT;
• Lapidação em Brilhante;
• Grau de cor: LLB;
• Grau de pureza: ±VS/SI2;";;BR05813T;gid://shopify/ProductVariant/46332840935719;AVANTGARDE;AVANT GARDE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR05813T;BRINCO OBN,LINE AVANT G, DLLB ±0,41CT;5.68;683.87;21900.0;05. De 20.000 a 50.000;PA;OURO;RN;RODIO NEGRO;BR COMETA;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR05813T.JPG;Sim;Ativo;0.0;ATIVO;2019-11-07;9.02;COM;BRINCO CRA
